record,beat_number,qrs_sample,qrs_seconds,qrs_annotation,qrs_symbol,p_onset_sample,p_peak_sample,p_offset_sample,qrs_onset_sample,qrs_offset_sample,t_onset_sample,t_peak_sample,t_offset_sample,t_wave_type
210,1,250,0.6944444444444444,NORMAL,N,,,,232,262,,313,343,positive_monophasic
210,2,472,1.3111111111111111,NORMAL,N,,,,454,483,530,572,585,normal
210,3,627,1.7416666666666667,PVC,V,,,,607,659,668,707,747,normal
210,4,866,2.4055555555555554,NORMAL,N,775,797,822,839,878,,919,969,positive_monophasic
210,5,1081,3.0027777777777778,NORMAL,N,,,,1062,1093,1139,1199,1214,normal
210,6,1298,3.6055555555555556,NORMAL,N,,,,1276,1310,1370,1415,1442,normal
210,7,1586,4.405555555555556,NORMAL,N,1486,1505,1521,1556,1599,1640,1695,1713,biphasic_negative_positive
210,8,1818,5.05,NORMAL,N,1746,1763,1785,1802,1829,1882,1915,1923,normal
210,9,2029,5.636111111111111,NORMAL,N,1935,1952,1975,2013,2040,2091,2138,2175,normal
210,10,2249,6.247222222222222,NORMAL,N,,,,2233,2261,2310,2351,2374,normal
210,11,2508,6.966666666666667,NORMAL,N,2411,2440,2456,2489,2522,2587,2619,2636,normal
210,12,2749,7.636111111111111,NORMAL,N,2675,2700,2723,2731,2762,2828,2852,2869,normal
210,13,2987,8.297222222222222,NORMAL,N,2882,2898,2917,2969,3053,3057,3108,3153,normal
210,14,3246,9.016666666666667,NORMAL,N,3165,3183,3207,3222,3259,3317,3350,3364,normal
210,15,3464,9.622222222222222,NORMAL,N,3397,3425,3440,3447,3477,3496,3559,3577,biphasic_negative_positive
210,16,3674,10.205555555555556,NORMAL,N,3585,3606,3625,3647,3686,3713,3729,3764,inverted
210,17,3841,10.669444444444444,PVC,V,3769,3787,3810,3819,3866,3879,3914,3954,normal
210,18,4151,11.530555555555555,NORMAL,N,4076,4087,4100,4127,4163,4190,4256,4265,biphasic_negative_positive
210,19,4381,12.169444444444444,NORMAL,N,4271,4293,4318,4363,4393,4435,4485,4520,normal
210,20,4595,12.76388888888889,NORMAL,N,,,,4576,4608,4664,4705,4716,normal
210,21,4825,13.402777777777779,NORMAL,N,,,,4800,4839,4868,4947,4958,biphasic_negative_positive
210,22,5124,14.233333333333333,NORMAL,N,,,,5100,5136,5163,5255,5268,biphasic_negative_positive
210,23,5362,14.894444444444444,NORMAL,N,,,,5344,5376,5440,5477,5492,normal
210,24,5631,15.641666666666667,NORMAL,N,,,,5610,5643,,5697,5737,positive_monophasic
210,25,5828,16.18888888888889,NORMAL,N,5780,5792,5803,5810,5840,5855,5953,5962,biphasic_negative_positive
210,26,6092,16.92222222222222,NORMAL,N,5986,6001,6021,6075,6155,6165,6233,6288,normal
210,27,6363,17.675,NORMAL,N,,,,6343,6376,,6427,6470,positive_monophasic
210,28,6529,18.136111111111113,PVC,V,,,,6506,6552,6566,6593,6632,normal
210,29,6740,18.72222222222222,NORMAL,N,,,,6716,6752,6795,6850,6862,biphasic_negative_positive
210,30,6947,19.29722222222222,NORMAL,N,6871,6885,6902,6925,6960,6987,7047,7067,biphasic_negative_positive
210,31,7186,19.961111111111112,NORMAL,N,7087,7101,7124,7169,7199,7226,7286,7297,biphasic_negative_positive
210,32,7414,20.594444444444445,NORMAL,N,7360,7371,7388,7397,7426,,7477,7517,positive_monophasic
210,33,7617,21.158333333333335,NORMAL,N,,,,7600,7630,7648,7710,7722,biphasic_negative_positive
210,34,7842,21.783333333333335,NORMAL,N,7757,7777,7794,7824,7855,7906,7973,7991,normal
210,35,8112,22.533333333333335,FUSION,F,8027,8053,8073,8095,8125,8158,8187,8215,normal
210,36,8399,23.330555555555556,NORMAL,N,8286,8317,8332,8373,8411,8431,8496,8513,biphasic_negative_positive
210,37,8668,24.07777777777778,NORMAL,N,8579,8591,8606,8652,8680,,8723,8756,positive_monophasic
210,38,8876,24.655555555555555,NORMAL,N,8800,8827,8851,8860,8888,8912,8975,8989,biphasic_negative_positive
210,39,9103,25.28611111111111,NORMAL,N,9019,9048,9066,9084,9115,9145,9235,9258,biphasic_negative_positive
210,40,9416,26.155555555555555,NORMAL,N,9340,9360,9390,9397,9428,9492,9542,9569,normal
210,41,9677,26.880555555555556,NORMAL,N,9613,9626,9646,9658,9692,9720,9731,9778,inverted
210,42,9899,27.497222222222224,NORMAL,N,,,,9872,9911,9965,9999,10014,normal
210,43,10248,28.466666666666665,NORMAL,N,10182,10202,10216,10228,10261,10321,10364,10388,normal
210,44,10498,29.16111111111111,NORMAL,N,10422,10439,10463,10481,10510,10556,10624,10647,normal
210,45,10749,29.858333333333334,NORMAL,N,10676,10694,10707,10733,10819,,,,
210,46,10952,30.42222222222222,NORMAL,N,,,,10935,10963,,,,
210,47,11076,30.766666666666666,PVC,V,,,,11047,11098,11109,11149,11186,normal
210,48,11427,31.741666666666667,NORMAL,N,11314,11331,11358,11393,11439,11511,11541,11554,normal
210,49,11670,32.416666666666664,NORMAL,N,11587,11609,11636,11653,11682,11684,11798,11820,biphasic_negative_positive
210,50,11923,33.11944444444445,NORMAL,N,,,,11900,11935,11962,12023,12036,biphasic_negative_positive
210,51,12167,33.797222222222224,NORMAL,N,12041,12062,12085,12137,12180,12237,12277,12289,normal
