record,beat_number,qrs_sample,qrs_seconds,qrs_annotation,qrs_symbol,p_onset_sample,p_peak_sample,p_offset_sample,qrs_onset_sample,qrs_offset_sample,t_onset_sample,t_peak_sample,t_offset_sample,t_wave_type
124,1,243,0.675,RBBB,R,160,183,202,212,271,317,387,411,biphasic_negative_positive
124,2,692,1.9222222222222223,RBBB,R,,,,663,716,749,822,849,biphasic_negative_positive
124,3,1118,3.1055555555555556,RBBB,R,1045,1062,1082,1091,1144,1172,1256,1281,biphasic_negative_positive
124,4,1552,4.311111111111111,RBBB,R,1474,1493,1513,1523,1579,1614,1694,1723,biphasic_negative_positive
124,5,1988,5.522222222222222,RBBB,R,,,,1959,2011,2047,2125,2150,biphasic_negative_positive
124,6,2443,6.786111111111111,RBBB,R,,,,2415,2467,2502,2580,2610,biphasic_negative_positive
124,7,2884,8.011111111111111,RBBB,R,2809,2824,2844,2854,2910,2949,3028,3055,biphasic_negative_positive
124,8,3307,9.186111111111112,RBBB,R,,,,3279,3331,3368,3443,3471,biphasic_negative_positive
124,9,3743,10.397222222222222,RBBB,R,3665,3684,3704,3714,3765,3802,3879,3904,biphasic_negative_positive
124,10,4155,11.541666666666666,RBBB,R,,,,4128,4180,4217,4296,4324,biphasic_negative_positive
124,11,4593,12.758333333333333,RBBB,R,,,,4564,4616,4648,4732,4756,biphasic_negative_positive
124,12,5016,13.933333333333334,RBBB,R,,,,4986,5038,5082,5148,5175,biphasic_negative_positive
124,13,5457,15.158333333333333,RBBB,R,,,,5427,5479,5524,5598,5623,biphasic_negative_positive
124,14,5878,16.32777777777778,RBBB,R,,,,5848,5902,5934,6013,6039,biphasic_negative_positive
124,15,6326,17.572222222222223,RBBB,R,6245,6264,6285,6294,6352,6392,6464,6492,biphasic_negative_positive
124,16,6756,18.766666666666666,RBBB,R,6679,6692,6699,6729,6777,6804,6891,6917,biphasic_negative_positive
124,17,7199,19.997222222222224,RBBB,R,,,,7169,7222,7257,7335,7363,biphasic_negative_positive
124,18,7633,21.20277777777778,RBBB,R,,,,7602,7656,7701,7770,7793,biphasic_negative_positive
124,19,8072,22.42222222222222,RBBB,R,,,,8044,8096,8131,8209,8237,biphasic_negative_positive
124,20,8499,23.608333333333334,RBBB,R,8425,8434,8441,8472,8524,8556,8640,8665,biphasic_negative_positive
124,21,8936,24.822222222222223,RBBB,R,8857,8876,8897,8907,8962,9000,9070,9096,biphasic_negative_positive
124,22,9355,25.98611111111111,RBBB,R,,,,9328,9380,9417,9495,9518,biphasic_negative_positive
124,23,9792,27.2,RBBB,R,,,,9769,9817,9848,9930,9956,biphasic_negative_positive
124,24,10220,28.38888888888889,RBBB,R,,,,10190,10246,10286,10365,10388,biphasic_negative_positive
124,25,10660,29.61111111111111,RBBB,R,10584,10593,10599,10632,10684,10717,10792,10817,biphasic_negative_positive
124,26,11086,30.794444444444444,RBBB,R,,,,11058,11109,11157,11224,11250,biphasic_negative_positive
124,27,11517,31.991666666666667,RBBB,R,11440,11458,11477,11487,11542,11585,11660,11687,biphasic_negative_positive
124,28,11951,33.19722222222222,RBBB,R,11876,11894,11914,11923,11976,12021,12087,12114,biphasic_negative_positive
124,29,12385,34.40277777777778,RBBB,R,,,,12357,12408,12443,12519,12547,biphasic_negative_positive
124,30,12811,35.58611111111111,RBBB,R,,,,12785,12838,12870,12951,12979,biphasic_negative_positive
124,31,13235,36.763888888888886,RBBB,R,13158,13170,13177,13209,13259,13291,13373,13396,biphasic_negative_positive
124,32,13670,37.97222222222222,RBBB,R,,,,13641,13693,13735,13806,13829,biphasic_negative_positive
124,33,14100,39.166666666666664,RBBB,R,14021,14036,14043,14071,14123,14159,14243,14271,biphasic_negative_positive
124,34,14527,40.352777777777774,RBBB,R,14449,14460,14467,14498,14551,14585,14669,14694,biphasic_negative_positive
124,35,14981,41.61388888888889,RBBB,R,14902,14921,14941,14951,15003,15036,15119,15146,biphasic_negative_positive
124,36,15419,42.830555555555556,RBBB,R,15332,15350,15357,15390,15442,15483,15563,15590,biphasic_negative_positive
124,37,15865,44.06944444444444,RBBB,R,,,,15837,15888,15924,16003,16027,biphasic_negative_positive
124,38,16315,45.31944444444444,RBBB,R,16232,16243,16252,16286,16343,16380,16453,16479,biphasic_negative_positive
124,39,16767,46.575,RBBB,R,,,,16740,16789,16823,16904,16934,biphasic_negative_positive
124,40,17199,47.775,RBBB,R,,,,17171,17223,17259,17337,17360,biphasic_negative_positive
124,41,17650,49.02777777777778,RBBB,R,17572,17581,17587,17620,17676,17727,17785,17812,biphasic_negative_positive
124,42,18089,50.24722222222222,RBBB,R,,,,18059,18111,18156,18230,18257,biphasic_negative_positive
124,43,18537,51.49166666666667,RBBB,R,,,,18509,18564,18600,18677,18702,biphasic_negative_positive
124,44,18983,52.730555555555554,RBBB,R,18903,18920,18941,18953,19008,19044,19119,19147,biphasic_negative_positive
124,45,19416,53.93333333333333,RBBB,R,19340,19357,19377,19387,19442,19477,19557,19583,biphasic_negative_positive
124,46,19868,55.18888888888889,RBBB,R,19785,19801,19807,19838,19892,19934,20007,20035,biphasic_negative_positive
124,47,20317,56.43611111111111,RBBB,R,,,,20287,20341,20382,20461,20484,biphasic_negative_positive
124,48,20772,57.7,RBBB,R,,,,20745,20796,20833,20906,20933,biphasic_negative_positive
124,49,21221,58.94722222222222,RBBB,R,,,,21193,21244,21288,21358,21387,biphasic_negative_positive
124,50,21650,60.138888888888886,RBBB,R,21562,21587,21608,21622,21675,21710,21792,21815,biphasic_negative_positive
124,51,22093,61.36944444444445,RBBB,R,,,,22066,22116,22157,22226,22254,biphasic_negative_positive
124,52,22532,62.58888888888889,RBBB,R,,,,22506,22554,22594,22672,22700,biphasic_negative_positive
124,53,22988,63.855555555555554,RBBB,R,22915,22930,22949,22957,23010,23053,23128,23149,biphasic_negative_positive
124,54,23421,65.05833333333334,RBBB,R,,,,23395,23448,23486,23561,23586,biphasic_negative_positive
124,55,23897,66.38055555555556,RBBB,R,,,,23868,23921,23962,24038,24064,biphasic_negative_positive
124,56,24362,67.67222222222222,RBBB,R,24300,24307,24320,24332,24388,24431,24505,24532,biphasic_negative_positive
124,57,24815,68.93055555555556,RBBB,R,24741,24750,24757,24788,24836,24868,24947,24971,biphasic_negative_positive
124,58,25252,70.14444444444445,RBBB,R,,,,25224,25276,25313,25387,25414,biphasic_negative_positive
124,59,25688,71.35555555555555,RBBB,R,25610,25628,25648,25658,25712,25755,25832,25856,biphasic_negative_positive
124,60,26108,72.52222222222223,RBBB,R,,,,26083,26130,26172,26242,26267,biphasic_negative_positive
124,61,26539,73.71944444444445,RBBB,R,,,,26510,26561,26604,26674,26702,biphasic_negative_positive
124,62,26952,74.86666666666666,RBBB,R,,,,26925,26980,27009,27096,27121,biphasic_negative_positive
124,63,27395,76.09722222222223,RBBB,R,,,,27367,27421,27461,27533,27560,biphasic_negative_positive
124,64,27852,77.36666666666666,RBBB,R,,,,27821,27873,27916,27988,28016,biphasic_negative_positive
124,65,28277,78.54722222222222,RBBB,R,28200,28220,28238,28249,28301,28340,28424,28449,biphasic_negative_positive
124,66,28725,79.79166666666667,RBBB,R,28646,28665,28685,28696,28748,28790,28862,28887,biphasic_negative_positive
124,67,29138,80.93888888888888,RBBB,R,29063,29081,29102,29110,29165,29203,29272,29297,biphasic_negative_positive
124,68,29574,82.15,RBBB,R,29497,29516,29537,29546,29599,29632,29716,29743,biphasic_negative_positive
124,69,30021,83.39166666666667,RBBB,R,,,,29993,30045,30078,30156,30181,biphasic_negative_positive
124,70,30450,84.58333333333333,RBBB,R,30372,30394,30408,30421,30475,30522,30589,30612,biphasic_negative_positive
124,71,30887,85.79722222222222,RBBB,R,,,,30862,30909,30943,31021,31048,biphasic_negative_positive
124,72,31318,86.99444444444444,RBBB,R,,,,31291,31343,31374,31458,31485,biphasic_negative_positive
124,73,31754,88.20555555555555,RBBB,R,31696,31702,31715,31727,31782,31808,31895,31918,biphasic_negative_positive
